Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ind_solver,ic3_ind_gen_time,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway,valid,5,0.294,7 5 4 2,546,472,0.169,0.121,0.041,0.002,0.023
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6,valid,2,0.035,5,29,10,0.008,0.012,0.002,0.001,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums,valid,2,0.148,9,92,61,0.041,0.059,0.008,0.001,0.014
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834,valid,2,0.031,2,17,7,0.005,0.008,0.002,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e7_41,invalid,0,0.01,N/A,2,0,0,0.001,0,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e7_651,invalid,0,0.011,N/A,2,0,0,0.001,0,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e8_1032,valid,2,0.056,3,20,7,0.008,0.017,0.003,0,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e8_6_e8_427,invalid,1,0.014,0,7,0,0,0.002,0.001,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192,valid,5,0.275,7 5 4 2,546,472,0.173,0.121,0.04,0.001,0.021
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_21,invalid,0,0.01,N/A,2,0,0,0.001,0,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell,valid,2,0.036,5,30,11,0.009,0.013,0.003,0.001,0.003
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363,valid,2,0.037,3,21,8,0.007,0.011,0.002,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/ums_e7_1700,invalid,1,0.118,5,61,36,0.025,0.038,0.006,0.001,0.016
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/simulation/production_cell_e7_207_e8_241,valid,2,0.034,5,30,11,0.008,0.012,0.003,0.001,0.003
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/_6counter,invalid,5,0.148,7 5 3 2 1,379,306,0.101,0.07,0.026,0,0.011
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e7_76,valid,4,0.037,6 5 3,91,58,0.019,0.016,0.006,0.001,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e8_64_e7_80,invalid,1,0.011,0,7,0,0,0.001,0.001,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/switch2,invalid,1,0.017,0,14,4,0.002,0.004,0.001,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/_6counter2,invalid,4,0.043,3 2 1 0,98,52,0.015,0.016,0.006,0.001,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e8_64_e8_207,invalid,0,0.008,N/A,1,0,0,0.001,0,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e8_48,invalid,0,0.006,N/A,2,0,0,0,0,0,0
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark,valid,3,0.034,4 2,76,52,0.017,0.014,0.004,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/switch,invalid,1,0.019,0,14,4,0.002,0.003,0.002,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e7_27,valid,4,0.047,6 5 3,91,58,0.023,0.018,0.007,0.002,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Bool/misc/stalmark_e7_27_e7_31,valid,4,0.059,6 5 3,91,58,0.028,0.023,0.009,0.002,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e3_5120,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e2_2073_e8_3691,invalid,0,0.028,N/A,2,0,0,0.001,0.012,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_13_e7_2336,invalid,0,0.021,N/A,2,0,0,0.001,0.007,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_5_e7_2017_e7_2326,invalid,1,0.131,2,28,11,0.011,0.012,0.04,0,0.007
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e7_2329_e3_4574,invalid,1,0.24,6,67,38,0.039,0.027,0.073,0.001,0.011
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e1_4022_e2_267,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e1_5070,valid,2,0.074,2,24,13,0.008,0.006,0.018,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e1_913,invalid,1,13.421,1,25,11,0.128,0.008,13.361,0,0.006
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_1_e1_1092_e7_1119,invalid,0,0.017,N/A,2,0,0,0.001,0.006,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_a3_e2_2952,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_4_e3_3511_e5_3248,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e3_1600_e2_676,invalid,1,109.919,5,65,39,0.165,0.023,109.758,0.001,0.011
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e7_3191_e7_2146,invalid,0,0.016,N/A,2,0,0,0.001,0.005,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_a3_e1_3233_e1_3123,invalid,1,0.326,2,39,22,0.138,0.013,0.247,0,0.006
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e1_1207_e1_1201,invalid,1,0.788,3,52,32,0.14,0.017,0.669,0.001,0.008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e1_4022_e7_2886,invalid,0,0.026,N/A,2,0,0,0.001,0.01,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_4_e3_3511_e1_2375,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_5_e2_2884_e1_2678,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e2_2924_e7_3371,invalid,0,0.033,N/A,2,0,0,0.001,0.021,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e2_6104_e1_6205,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_6,valid,6,6.064,23 21 18 13 7,768,635,4.735,0.223,5.448,0.004,0.086
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e3_1600_e7_1607,invalid,0,0.026,N/A,2,0,0,0.001,0.01,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_3_e2_2236_e3_2657,invalid,1,0.077,1,20,6,0.004,0.006,0.026,0,0.004
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_9_e7_1843_e2_1145,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_5_e7_2017,invalid,1,0.085,0,16,5,0.004,0.006,0.023,0,0.005
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e2_3460_e1_1455,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e1_5710,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_9,valid,2,0.201,2,27,16,0.065,0.008,0.154,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e3_3846,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e3_4821_e2_1089,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e2_2785_e3_1744,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e7_3191_e1_1303,invalid,0,0.016,N/A,2,0,0,0,0.005,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e7_3162_e1_3998,invalid,2,9.144,9 3,224,171,6.06,0.102,8.758,0.003,0.041
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_13_e7_2336_e2_1255,invalid,0,0.022,N/A,2,0,0,0.001,0.008,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_13,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e3_4612_e1_6463,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_13_e7_2336_e1_541,invalid,0,0.028,N/A,2,0,0,0.001,0.009,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1a,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_14_e7_3162_e3_4298,invalid,2,2.985,6 2,83,39,0.39,0.038,2.72,0.001,0.034
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1a_e2_284_e7_998,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_4_e3_3511_e3_422,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e3_1549,invalid,1,12.683,3,49,29,0.27,0.017,12.597,0,0.008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_11_e3_2076_e1_1270,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e3_671_e7_1882,invalid,0,0.018,N/A,2,0,0,0.001,0.005,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_12_e2_1618_e2_138,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e3_144_e7_523,invalid,0,0.022,N/A,2,0,0,0.001,0.007,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_2_e7_25_e2_5340,invalid,0,0.023,N/A,2,0,0,0.001,0.009,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e7_5406,invalid,0,0.064,N/A,2,0,0,0.001,0.044,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e3_671_e4_147,invalid,1,27.939,1,20,6,0.097,0.007,27.884,0,0.006
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e1_3587_e7_872,invalid,0,0.022,N/A,2,0,0,0.001,0.007,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e1_4022_e1_1759,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e1_4783,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e3_4612_e4_3719,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_9_e7_1843_e7_2225,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e8_5504_e7_579,invalid,0,0.044,N/A,2,0,0,0.001,0.029,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e7_2574,invalid,0,0.015,N/A,2,0,0,0,0.005,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e2_2799_e7_2499,invalid,1,0.164,4,44,21,0.017,0.016,0.039,0.001,0.009
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e3_5422_e1_2288,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e1_1139_e2_2893,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_rt_e3_1770_e2_637,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_a3_e1_3233,invalid,1,11.818,4,55,32,0.146,0.019,11.707,0.001,0.009
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_12_e1_4640_e7_128,invalid,0,0.024,N/A,2,0,0,0.001,0.009,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_8_e2_3896_e3_3125,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_11_e1_2450,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e1_1207_e7_156,invalid,0,0.019,N/A,2,0,0,0.001,0.007,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_10_e7_919_e2_3192,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_2_e7_25_e8_3171,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e1_4037,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e7_3861_e7_2180,invalid,0,0.021,N/A,2,0,0,0.001,0.006,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e7_2329_e7_3856,invalid,1,0.152,3,26,6,0.006,0.011,0.051,0,0.008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e1_4783_e3_511,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e3_3496,invalid,1,51.111,3,54,34,0.116,0.017,50.982,0,0.008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_9,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1a_e2_284_e3_3091,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e3_144_e5_2046,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e7_1909,invalid,0,0.034,N/A,2,0,0,0.001,0.021,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e7_4884,invalid,0,0.023,N/A,2,0,0,0.001,0.009,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_5_e2_3018_e2_936,valid,4,41.605,11 9 5,392,333,28.246,0.142,41.233,0.002,0.03
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_u1_e2_3403_e2_957,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e3_671_e2_2131,invalid,1,289.845,3,53,33,0.358,0.017,289.753,0.001,0.01
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_12,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e1_1207_e2_3220,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e2_3460_e2_2670,invalid,1,6.574,1,21,7,0.077,0.009,6.516,0,0.006
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_2_e3_151_e3_1540,invalid,1,34.24,1,27,13,0.161,0.011,34.177,0,0.007
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_4,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b_e1_1139_e1_1565,invalid,1,64.64,1,26,12,0.224,0.009,64.579,0,0.006
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_1b,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e2_1997,valid,2,0.094,2,24,13,0.008,0.006,0.044,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e3_5422_e2_3135,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_10,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_2_e7_1826_e8_126,valid,6,5.975,19 17 15 11 6,753,631,4.732,0.225,5.416,0.003,0.077
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_5_e1_2552_e7_1169,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e3_4821_e1_1318,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_7,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_2_e1_2316,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_10_e1_3587_e3_2749,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e8_4626,invalid,0,0.027,N/A,2,0,0,0.001,0.011,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_2_e7_25,invalid,0,0.022,N/A,2,0,0,0.001,0.008,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_2_e7_25_e7_4469,invalid,0,0.023,N/A,2,0,0,0.001,0.009,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_5_e2_2229,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e3_4133,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all2_e7_5406_e1_6690,invalid,0,0.039,N/A,2,0,0,0.002,0.019,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e1_913_e7_1403,invalid,0,0.016,N/A,2,0,0,0.001,0.005,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_11_e1_2450_e1_5887,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_2,valid,6,6.001,19 17 15 11 6,753,631,4.746,0.217,5.44,0.005,0.079
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_all_e3_5957,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_8_e2_1711_e1_1489,valid,2,0.035,1,12,4,0.003,0.003,0.006,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e1_14612_e1_268_e7_501,valid,2,0.053,1,13,5,0.004,0.003,0.012,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_11_e1_3457,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e2_2799_e1_1303,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_rt_e1_913_e1_1993,invalid,1,0.832,3,55,35,0.545,0.021,0.739,0.001,0.008
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e1_4783_e2_158,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_luke_3,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_3_e1_4783_e7_4070,invalid,0,0.025,N/A,2,0,0,0.001,0.01,0,0.001
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_2,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_a3_e3_314_e1_1979,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_a3_e3_314_e4_897,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370,valid,2,0.076,2,23,12,0.009,0.006,0.02,0,0.002
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e2_2924_e3_3946,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_4_e3_3511,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_4_e3_3511_e2_1923,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_6_e2_3302,valid,6,234.446,23 20 18 12 7,1066,922,181.263,0.453,233.379,0.005,0.153
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_all_e3_1600_e1_667,invalid,1,58.91,4,52,29,0.163,0.017,58.771,0.001,0.01
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_3_e2_2236_e2_1058,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/DRAGON_4_e2_2799,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int32/memory1/FIREFLY_a3,unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
